F99   | E:   99 | N:    0 | D:    0
E5    | E:  161 | N: -466 | D:  270
F96   | E:  161 | N: -370 | D:  270
N3    | E:  161 | N: -367 | D:  270
E3    | E:  164 | N: -367 | D:  270
N2    | E:  164 | N: -365 | D:  270
R270  | E:  164 | N: -365 | D:  180
W5    | E:  159 | N: -365 | D:  180
L180  | E:  159 | N: -365 | D:    0
F24   | E:  183 | N: -365 | D:    0
W5    | E:  178 | N: -365 | D:    0
S5    | E:  178 | N: -370 | D:    0
R180  | E:  178 | N: -370 | D:  180
W1    | E:  177 | N: -370 | D:  180
N5    | E:  177 | N: -365 | D:  180
F6    | E:  171 | N: -365 | D:  180
R90   | E:  171 | N: -365 | D:  270
E1    | E:  172 | N: -365 | D:  270
F52   | E:  172 | N: -313 | D:  270
F77   | E:  172 | N: -236 | D:  270
W4    | E:  168 | N: -236 | D:  270
F34   | E:  168 | N: -202 | D:  270
S3    | E:  168 | N: -205 | D:  270
R90   | E:  168 | N: -205 | D:    0
E1    | E:  169 | N: -205 | D:    0
E5    | E:  174 | N: -205 | D:    0
N5    | E:  174 | N: -200 | D:    0
E1    | E:  175 | N: -200 | D:    0
S5    | E:  175 | N: -205 | D:    0
R90   | E:  175 | N: -205 | D:   90
W5    | E:  170 | N: -205 | D:   90
N4    | E:  170 | N: -201 | D:   90
E3    | E:  173 | N: -201 | D:   90
W3    | E:  170 | N: -201 | D:   90
L90   | E:  170 | N: -201 | D:    0
E2    | E:  172 | N: -201 | D:    0
L90   | E:  172 | N: -201 | D:  270
W3    | E:  169 | N: -201 | D:  270
W5    | E:  164 | N: -201 | D:  270
F49   | E:  164 | N: -152 | D:  270
N1    | E:  164 | N: -151 | D:  270
F48   | E:  164 | N: -103 | D:  270
W3    | E:  161 | N: -103 | D:  270
N4    | E:  161 | N:  -99 | D:  270
E4    | E:  165 | N:  -99 | D:  270
F100  | E:  165 | N:    1 | D:  270
E1    | E:  166 | N:    1 | D:  270
R90   | E:  166 | N:    1 | D:    0
F25   | E:  191 | N:    1 | D:    0
S1    | E:  191 | N:    0 | D:    0
W2    | E:  189 | N:    0 | D:    0
N2    | E:  189 | N:    2 | D:    0
W1    | E:  188 | N:    2 | D:    0
F25   | E:  213 | N:    2 | D:    0
L90   | E:  213 | N:    2 | D:  270
E2    | E:  215 | N:    2 | D:  270
F96   | E:  215 | N:   98 | D:  270
W2    | E:  213 | N:   98 | D:  270
S1    | E:  213 | N:   97 | D:  270
S4    | E:  213 | N:   93 | D:  270
F91   | E:  213 | N:  184 | D:  270
N2    | E:  213 | N:  186 | D:  270
R90   | E:  213 | N:  186 | D:    0
W4    | E:  209 | N:  186 | D:    0
L90   | E:  209 | N:  186 | D:  270
E4    | E:  213 | N:  186 | D:  270
F78   | E:  213 | N:  264 | D:  270
L90   | E:  213 | N:  264 | D:  180
S1    | E:  213 | N:  263 | D:  180
W3    | E:  210 | N:  263 | D:  180
F56   | E:  154 | N:  263 | D:  180
R90   | E:  154 | N:  263 | D:  270
W1    | E:  153 | N:  263 | D:  270
E4    | E:  157 | N:  263 | D:  270
L90   | E:  157 | N:  263 | D:  180
N5    | E:  157 | N:  268 | D:  180
E1    | E:  158 | N:  268 | D:  180
R90   | E:  158 | N:  268 | D:  270
F53   | E:  158 | N:  321 | D:  270
E5    | E:  163 | N:  321 | D:  270
L90   | E:  163 | N:  321 | D:  180
E2    | E:  165 | N:  321 | D:  180
F82   | E:   83 | N:  321 | D:  180
E4    | E:   87 | N:  321 | D:  180
L90   | E:   87 | N:  321 | D:   90
W2    | E:   85 | N:  321 | D:   90
L180  | E:   85 | N:  321 | D:  270
F51   | E:   85 | N:  372 | D:  270
R270  | E:   85 | N:  372 | D:  180
F37   | E:   48 | N:  372 | D:  180
N5    | E:   48 | N:  377 | D:  180
F15   | E:   33 | N:  377 | D:  180
E4    | E:   37 | N:  377 | D:  180
F16   | E:   21 | N:  377 | D:  180
E2    | E:   23 | N:  377 | D:  180
S1    | E:   23 | N:  376 | D:  180
E4    | E:   27 | N:  376 | D:  180
F91   | E:  -64 | N:  376 | D:  180
N4    | E:  -64 | N:  380 | D:  180
E5    | E:  -59 | N:  380 | D:  180
N5    | E:  -59 | N:  385 | D:  180
L90   | E:  -59 | N:  385 | D:   90
F9    | E:  -59 | N:  376 | D:   90
W2    | E:  -61 | N:  376 | D:   90
F64   | E:  -61 | N:  312 | D:   90
S4    | E:  -61 | N:  308 | D:   90
F72   | E:  -61 | N:  236 | D:   90
W2    | E:  -63 | N:  236 | D:   90
F31   | E:  -63 | N:  205 | D:   90
S4    | E:  -63 | N:  201 | D:   90
R90   | E:  -63 | N:  201 | D:  180
F40   | E: -103 | N:  201 | D:  180
W3    | E: -106 | N:  201 | D:  180
R90   | E: -106 | N:  201 | D:  270
F50   | E: -106 | N:  251 | D:  270
S1    | E: -106 | N:  250 | D:  270
F61   | E: -106 | N:  311 | D:  270
W3    | E: -109 | N:  311 | D:  270
F90   | E: -109 | N:  401 | D:  270
N5    | E: -109 | N:  406 | D:  270
F76   | E: -109 | N:  482 | D:  270
S1    | E: -109 | N:  481 | D:  270
L90   | E: -109 | N:  481 | D:  180
E3    | E: -106 | N:  481 | D:  180
R180  | E: -106 | N:  481 | D:    0
F19   | E:  -87 | N:  481 | D:    0
L90   | E:  -87 | N:  481 | D:  270
W3    | E:  -90 | N:  481 | D:  270
F70   | E:  -90 | N:  551 | D:  270
E3    | E:  -87 | N:  551 | D:  270
F35   | E:  -87 | N:  586 | D:  270
R90   | E:  -87 | N:  586 | D:    0
L90   | E:  -87 | N:  586 | D:  270
N1    | E:  -87 | N:  587 | D:  270
W5    | E:  -92 | N:  587 | D:  270
R180  | E:  -92 | N:  587 | D:   90
E2    | E:  -90 | N:  587 | D:   90
N5    | E:  -90 | N:  592 | D:   90
F34   | E:  -90 | N:  558 | D:   90
W4    | E:  -94 | N:  558 | D:   90
S1    | E:  -94 | N:  557 | D:   90
E1    | E:  -93 | N:  557 | D:   90
N5    | E:  -93 | N:  562 | D:   90
E1    | E:  -92 | N:  562 | D:   90
N2    | E:  -92 | N:  564 | D:   90
R90   | E:  -92 | N:  564 | D:  180
W4    | E:  -96 | N:  564 | D:  180
S1    | E:  -96 | N:  563 | D:  180
L180  | E:  -96 | N:  563 | D:    0
E5    | E:  -91 | N:  563 | D:    0
F59   | E:  -32 | N:  563 | D:    0
E1    | E:  -31 | N:  563 | D:    0
R90   | E:  -31 | N:  563 | D:   90
S2    | E:  -31 | N:  561 | D:   90
L90   | E:  -31 | N:  561 | D:    0
S4    | E:  -31 | N:  557 | D:    0
R90   | E:  -31 | N:  557 | D:   90
W2    | E:  -33 | N:  557 | D:   90
N5    | E:  -33 | N:  562 | D:   90
F60   | E:  -33 | N:  502 | D:   90
W1    | E:  -34 | N:  502 | D:   90
R90   | E:  -34 | N:  502 | D:  180
F35   | E:  -69 | N:  502 | D:  180
R270  | E:  -69 | N:  502 | D:   90
W5    | E:  -74 | N:  502 | D:   90
F100  | E:  -74 | N:  402 | D:   90
W2    | E:  -76 | N:  402 | D:   90
R90   | E:  -76 | N:  402 | D:  180
N2    | E:  -76 | N:  404 | D:  180
S5    | E:  -76 | N:  399 | D:  180
S3    | E:  -76 | N:  396 | D:  180
E1    | E:  -75 | N:  396 | D:  180
S2    | E:  -75 | N:  394 | D:  180
F36   | E: -111 | N:  394 | D:  180
W1    | E: -112 | N:  394 | D:  180
F90   | E: -202 | N:  394 | D:  180
R90   | E: -202 | N:  394 | D:  270
S3    | E: -202 | N:  391 | D:  270
E3    | E: -199 | N:  391 | D:  270
F5    | E: -199 | N:  396 | D:  270
S4    | E: -199 | N:  392 | D:  270
R90   | E: -199 | N:  392 | D:    0
E3    | E: -196 | N:  392 | D:    0
R90   | E: -196 | N:  392 | D:   90
N3    | E: -196 | N:  395 | D:   90
L90   | E: -196 | N:  395 | D:    0
S1    | E: -196 | N:  394 | D:    0
F74   | E: -122 | N:  394 | D:    0
S2    | E: -122 | N:  392 | D:    0
R180  | E: -122 | N:  392 | D:  180
E4    | E: -118 | N:  392 | D:  180
S5    | E: -118 | N:  387 | D:  180
F13   | E: -131 | N:  387 | D:  180
S3    | E: -131 | N:  384 | D:  180
E2    | E: -129 | N:  384 | D:  180
F92   | E: -221 | N:  384 | D:  180
N5    | E: -221 | N:  389 | D:  180
F2    | E: -223 | N:  389 | D:  180
N4    | E: -223 | N:  393 | D:  180
F3    | E: -226 | N:  393 | D:  180
E2    | E: -224 | N:  393 | D:  180
L180  | E: -224 | N:  393 | D:    0
W3    | E: -227 | N:  393 | D:    0
N3    | E: -227 | N:  396 | D:    0
L90   | E: -227 | N:  396 | D:  270
E4    | E: -223 | N:  396 | D:  270
F21   | E: -223 | N:  417 | D:  270
W1    | E: -224 | N:  417 | D:  270
F76   | E: -224 | N:  493 | D:  270
W5    | E: -229 | N:  493 | D:  270
F56   | E: -229 | N:  549 | D:  270
E4    | E: -225 | N:  549 | D:  270
R180  | E: -225 | N:  549 | D:   90
F100  | E: -225 | N:  449 | D:   90
E1    | E: -224 | N:  449 | D:   90
F29   | E: -224 | N:  420 | D:   90
L90   | E: -224 | N:  420 | D:    0
F96   | E: -128 | N:  420 | D:    0
N2    | E: -128 | N:  422 | D:    0
F43   | E:  -85 | N:  422 | D:    0
R90   | E:  -85 | N:  422 | D:   90
F26   | E:  -85 | N:  396 | D:   90
N3    | E:  -85 | N:  399 | D:   90
F15   | E:  -85 | N:  384 | D:   90
L180  | E:  -85 | N:  384 | D:  270
E3    | E:  -82 | N:  384 | D:  270
R180  | E:  -82 | N:  384 | D:   90
N3    | E:  -82 | N:  387 | D:   90
E3    | E:  -79 | N:  387 | D:   90
R90   | E:  -79 | N:  387 | D:  180
F7    | E:  -86 | N:  387 | D:  180
L90   | E:  -86 | N:  387 | D:   90
W2    | E:  -88 | N:  387 | D:   90
F33   | E:  -88 | N:  354 | D:   90
R90   | E:  -88 | N:  354 | D:  180
E5    | E:  -83 | N:  354 | D:  180
S4    | E:  -83 | N:  350 | D:  180
E2    | E:  -81 | N:  350 | D:  180
E3    | E:  -78 | N:  350 | D:  180
F34   | E: -112 | N:  350 | D:  180
F66   | E: -178 | N:  350 | D:  180
N4    | E: -178 | N:  354 | D:  180
F14   | E: -192 | N:  354 | D:  180
W3    | E: -195 | N:  354 | D:  180
N2    | E: -195 | N:  356 | D:  180
R270  | E: -195 | N:  356 | D:   90
F66   | E: -195 | N:  290 | D:   90
E4    | E: -191 | N:  290 | D:   90
S5    | E: -191 | N:  285 | D:   90
W5    | E: -196 | N:  285 | D:   90
R90   | E: -196 | N:  285 | D:  180
S5    | E: -196 | N:  280 | D:  180
W5    | E: -201 | N:  280 | D:  180
L90   | E: -201 | N:  280 | D:   90
S4    | E: -201 | N:  276 | D:   90
L90   | E: -201 | N:  276 | D:    0
F69   | E: -132 | N:  276 | D:    0
E5    | E: -127 | N:  276 | D:    0
R90   | E: -127 | N:  276 | D:   90
W5    | E: -132 | N:  276 | D:   90
S5    | E: -132 | N:  271 | D:   90
W4    | E: -136 | N:  271 | D:   90
R90   | E: -136 | N:  271 | D:  180
N3    | E: -136 | N:  274 | D:  180
E4    | E: -132 | N:  274 | D:  180
F14   | E: -146 | N:  274 | D:  180
W3    | E: -149 | N:  274 | D:  180
F24   | E: -173 | N:  274 | D:  180
S3    | E: -173 | N:  271 | D:  180
F48   | E: -221 | N:  271 | D:  180
L180  | E: -221 | N:  271 | D:    0
E1    | E: -220 | N:  271 | D:    0
R90   | E: -220 | N:  271 | D:   90
F36   | E: -220 | N:  235 | D:   90
N4    | E: -220 | N:  239 | D:   90
L90   | E: -220 | N:  239 | D:    0
F68   | E: -152 | N:  239 | D:    0
E4    | E: -148 | N:  239 | D:    0
F59   | E:  -89 | N:  239 | D:    0
E5    | E:  -84 | N:  239 | D:    0
R90   | E:  -84 | N:  239 | D:   90
N2    | E:  -84 | N:  241 | D:   90
E4    | E:  -80 | N:  241 | D:   90
N5    | E:  -80 | N:  246 | D:   90
F56   | E:  -80 | N:  190 | D:   90
R90   | E:  -80 | N:  190 | D:  180
R90   | E:  -80 | N:  190 | D:  270
F91   | E:  -80 | N:  281 | D:  270
W3    | E:  -83 | N:  281 | D:  270
F24   | E:  -83 | N:  305 | D:  270
L90   | E:  -83 | N:  305 | D:  180
F56   | E: -139 | N:  305 | D:  180
S5    | E: -139 | N:  300 | D:  180
F59   | E: -198 | N:  300 | D:  180
S4    | E: -198 | N:  296 | D:  180
F36   | E: -234 | N:  296 | D:  180
N1    | E: -234 | N:  297 | D:  180
W3    | E: -237 | N:  297 | D:  180
R270  | E: -237 | N:  297 | D:   90
L90   | E: -237 | N:  297 | D:    0
F86   | E: -151 | N:  297 | D:    0
L180  | E: -151 | N:  297 | D:  180
F33   | E: -184 | N:  297 | D:  180
N5    | E: -184 | N:  302 | D:  180
E4    | E: -180 | N:  302 | D:  180
L90   | E: -180 | N:  302 | D:   90
F14   | E: -180 | N:  288 | D:   90
S3    | E: -180 | N:  285 | D:   90
L90   | E: -180 | N:  285 | D:    0
N5    | E: -180 | N:  290 | D:    0
L270  | E: -180 | N:  290 | D:   90
E5    | E: -175 | N:  290 | D:   90
S4    | E: -175 | N:  286 | D:   90
L180  | E: -175 | N:  286 | D:  270
W5    | E: -180 | N:  286 | D:  270
N2    | E: -180 | N:  288 | D:  270
L90   | E: -180 | N:  288 | D:  180
E3    | E: -177 | N:  288 | D:  180
F69   | E: -246 | N:  288 | D:  180
R90   | E: -246 | N:  288 | D:  270
S5    | E: -246 | N:  283 | D:  270
R270  | E: -246 | N:  283 | D:  180
N3    | E: -246 | N:  286 | D:  180
F70   | E: -316 | N:  286 | D:  180
E2    | E: -314 | N:  286 | D:  180
N2    | E: -314 | N:  288 | D:  180
F3    | E: -317 | N:  288 | D:  180
R90   | E: -317 | N:  288 | D:  270
S5    | E: -317 | N:  283 | D:  270
L180  | E: -317 | N:  283 | D:   90
F59   | E: -317 | N:  224 | D:   90
W3    | E: -320 | N:  224 | D:   90
F67   | E: -320 | N:  157 | D:   90
R180  | E: -320 | N:  157 | D:  270
F74   | E: -320 | N:  231 | D:  270
E4    | E: -316 | N:  231 | D:  270
F4    | E: -316 | N:  235 | D:  270
L90   | E: -316 | N:  235 | D:  180
N4    | E: -316 | N:  239 | D:  180
R90   | E: -316 | N:  239 | D:  270
S5    | E: -316 | N:  234 | D:  270
F6    | E: -316 | N:  240 | D:  270
S1    | E: -316 | N:  239 | D:  270
E3    | E: -313 | N:  239 | D:  270
N4    | E: -313 | N:  243 | D:  270
W3    | E: -316 | N:  243 | D:  270
F24   | E: -316 | N:  267 | D:  270
E1    | E: -315 | N:  267 | D:  270
S1    | E: -315 | N:  266 | D:  270
E4    | E: -311 | N:  266 | D:  270
S2    | E: -311 | N:  264 | D:  270
F82   | E: -311 | N:  346 | D:  270
N3    | E: -311 | N:  349 | D:  270
L90   | E: -311 | N:  349 | D:  180
E1    | E: -310 | N:  349 | D:  180
S2    | E: -310 | N:  347 | D:  180
R270  | E: -310 | N:  347 | D:   90
N4    | E: -310 | N:  351 | D:   90
E1    | E: -309 | N:  351 | D:   90
N3    | E: -309 | N:  354 | D:   90
F32   | E: -309 | N:  322 | D:   90
R270  | E: -309 | N:  322 | D:    0
W4    | E: -313 | N:  322 | D:    0
R90   | E: -313 | N:  322 | D:   90
E4    | E: -309 | N:  322 | D:   90
F33   | E: -309 | N:  289 | D:   90
N5    | E: -309 | N:  294 | D:   90
W3    | E: -312 | N:  294 | D:   90
F34   | E: -312 | N:  260 | D:   90
E2    | E: -310 | N:  260 | D:   90
S1    | E: -310 | N:  259 | D:   90
W3    | E: -313 | N:  259 | D:   90
W4    | E: -317 | N:  259 | D:   90
E2    | E: -315 | N:  259 | D:   90
L90   | E: -315 | N:  259 | D:    0
N5    | E: -315 | N:  264 | D:    0
W3    | E: -318 | N:  264 | D:    0
S1    | E: -318 | N:  263 | D:    0
F86   | E: -232 | N:  263 | D:    0
E4    | E: -228 | N:  263 | D:    0
F99   | E: -129 | N:  263 | D:    0
S1    | E: -129 | N:  262 | D:    0
L90   | E: -129 | N:  262 | D:  270
S2    | E: -129 | N:  260 | D:  270
E2    | E: -127 | N:  260 | D:  270
L90   | E: -127 | N:  260 | D:  180
F100  | E: -227 | N:  260 | D:  180
N5    | E: -227 | N:  265 | D:  180
F19   | E: -246 | N:  265 | D:  180
L180  | E: -246 | N:  265 | D:    0
W1    | E: -247 | N:  265 | D:    0
F25   | E: -222 | N:  265 | D:    0
N3    | E: -222 | N:  268 | D:    0
F25   | E: -197 | N:  268 | D:    0
R90   | E: -197 | N:  268 | D:   90
W4    | E: -201 | N:  268 | D:   90
N4    | E: -201 | N:  272 | D:   90
R180  | E: -201 | N:  272 | D:  270
N2    | E: -201 | N:  274 | D:  270
E5    | E: -196 | N:  274 | D:  270
R90   | E: -196 | N:  274 | D:    0
F66   | E: -130 | N:  274 | D:    0
N5    | E: -130 | N:  279 | D:    0
E2    | E: -128 | N:  279 | D:    0
L180  | E: -128 | N:  279 | D:  180
L90   | E: -128 | N:  279 | D:   90
E1    | E: -127 | N:  279 | D:   90
S2    | E: -127 | N:  277 | D:   90
R90   | E: -127 | N:  277 | D:  180
W3    | E: -130 | N:  277 | D:  180
S1    | E: -130 | N:  276 | D:  180
S2    | E: -130 | N:  274 | D:  180
L90   | E: -130 | N:  274 | D:   90
F93   | E: -130 | N:  181 | D:   90
L90   | E: -130 | N:  181 | D:    0
W2    | E: -132 | N:  181 | D:    0
R270  | E: -132 | N:  181 | D:  270
F73   | E: -132 | N:  254 | D:  270
N4    | E: -132 | N:  258 | D:  270
L90   | E: -132 | N:  258 | D:  180
F44   | E: -176 | N:  258 | D:  180
R90   | E: -176 | N:  258 | D:  270
N1    | E: -176 | N:  259 | D:  270
W3    | E: -179 | N:  259 | D:  270
R90   | E: -179 | N:  259 | D:    0
F69   | E: -110 | N:  259 | D:    0
N5    | E: -110 | N:  264 | D:    0
L90   | E: -110 | N:  264 | D:  270
N1    | E: -110 | N:  265 | D:  270
R90   | E: -110 | N:  265 | D:    0
F35   | E:  -75 | N:  265 | D:    0
F89   | E:   14 | N:  265 | D:    0
E4    | E:   18 | N:  265 | D:    0
F31   | E:   49 | N:  265 | D:    0
W3    | E:   46 | N:  265 | D:    0
R270  | E:   46 | N:  265 | D:  270
W1    | E:   45 | N:  265 | D:  270
N2    | E:   45 | N:  267 | D:  270
E5    | E:   50 | N:  267 | D:  270
L90   | E:   50 | N:  267 | D:  180
W4    | E:   46 | N:  267 | D:  180
W1    | E:   45 | N:  267 | D:  180
F93   | E:  -48 | N:  267 | D:  180
E4    | E:  -44 | N:  267 | D:  180
F18   | E:  -62 | N:  267 | D:  180
N4    | E:  -62 | N:  271 | D:  180
F31   | E:  -93 | N:  271 | D:  180
W5    | E:  -98 | N:  271 | D:  180
N4    | E:  -98 | N:  275 | D:  180
L90   | E:  -98 | N:  275 | D:   90
N1    | E:  -98 | N:  276 | D:   90
E2    | E:  -96 | N:  276 | D:   90
R270  | E:  -96 | N:  276 | D:    0
F34   | E:  -62 | N:  276 | D:    0
N5    | E:  -62 | N:  281 | D:    0
W2    | E:  -64 | N:  281 | D:    0
L270  | E:  -64 | N:  281 | D:   90
W3    | E:  -67 | N:  281 | D:   90
F44   | E:  -67 | N:  237 | D:   90
S3    | E:  -67 | N:  234 | D:   90
F47   | E:  -67 | N:  187 | D:   90
W2    | E:  -69 | N:  187 | D:   90
F86   | E:  -69 | N:  101 | D:   90
N4    | E:  -69 | N:  105 | D:   90
R90   | E:  -69 | N:  105 | D:  180
S5    | E:  -69 | N:  100 | D:  180
R90   | E:  -69 | N:  100 | D:  270
F4    | E:  -69 | N:  104 | D:  270
E3    | E:  -66 | N:  104 | D:  270
L180  | E:  -66 | N:  104 | D:   90
W5    | E:  -71 | N:  104 | D:   90
R180  | E:  -71 | N:  104 | D:  270
F89   | E:  -71 | N:  193 | D:  270
L180  | E:  -71 | N:  193 | D:   90
F46   | E:  -71 | N:  147 | D:   90
N3    | E:  -71 | N:  150 | D:   90
F76   | E:  -71 | N:   74 | D:   90
R270  | E:  -71 | N:   74 | D:    0
S2    | E:  -71 | N:   72 | D:    0
F62   | E:   -9 | N:   72 | D:    0
R90   | E:   -9 | N:   72 | D:   90
S2    | E:   -9 | N:   70 | D:   90
F28   | E:   -9 | N:   42 | D:   90
R180  | E:   -9 | N:   42 | D:  270
F47   | E:   -9 | N:   89 | D:  270
E4    | E:   -5 | N:   89 | D:  270
N4    | E:   -5 | N:   93 | D:  270
R90   | E:   -5 | N:   93 | D:    0
S4    | E:   -5 | N:   89 | D:    0
E3    | E:   -2 | N:   89 | D:    0
R180  | E:   -2 | N:   89 | D:  180
N1    | E:   -2 | N:   90 | D:  180
F92   | E:  -94 | N:   90 | D:  180
R180  | E:  -94 | N:   90 | D:    0
F86   | E:   -8 | N:   90 | D:    0
N3    | E:   -8 | N:   93 | D:    0
R270  | E:   -8 | N:   93 | D:  270
F47   | E:   -8 | N:  140 | D:  270
E4    | E:   -4 | N:  140 | D:  270
S4    | E:   -4 | N:  136 | D:  270
W2    | E:   -6 | N:  136 | D:  270
F67   | E:   -6 | N:  203 | D:  270
N5    | E:   -6 | N:  208 | D:  270
W3    | E:   -9 | N:  208 | D:  270
N1    | E:   -9 | N:  209 | D:  270
F98   | E:   -9 | N:  307 | D:  270
S1    | E:   -9 | N:  306 | D:  270
E4    | E:   -5 | N:  306 | D:  270
N3    | E:   -5 | N:  309 | D:  270
F97   | E:   -5 | N:  406 | D:  270
E3    | E:   -2 | N:  406 | D:  270
F69   | E:   -2 | N:  475 | D:  270
E3    | E:    1 | N:  475 | D:  270
F38   | E:    1 | N:  513 | D:  270
E3    | E:    4 | N:  513 | D:  270
S4    | E:    4 | N:  509 | D:  270
E5    | E:    9 | N:  509 | D:  270
F81   | E:    9 | N:  590 | D:  270
E3    | E:   12 | N:  590 | D:  270
F5    | E:   12 | N:  595 | D:  270
E3    | E:   15 | N:  595 | D:  270
R90   | E:   15 | N:  595 | D:    0
W2    | E:   13 | N:  595 | D:    0
N4    | E:   13 | N:  599 | D:    0
W3    | E:   10 | N:  599 | D:    0
F94   | E:  104 | N:  599 | D:    0
L180  | E:  104 | N:  599 | D:  180
F30   | E:   74 | N:  599 | D:  180
N1    | E:   74 | N:  600 | D:  180
F91   | E:  -17 | N:  600 | D:  180
