F99   | SE:  990 | SN:   99 | WE:   10 |W N:    1
N4    | SE: 1766 | SN:  221 | WE:   30 |W N:   -6
L270  | SE: 1766 | SN:  221 | WE:   -6 |W N:  -30
N5    | SE: 1766 | SN:  221 | WE:   -6 |W N:  -25
F89   | SE: 1232 | SN: -2004 | WE:   -6 |W N:  -25
L180  | SE: 1232 | SN: -2004 | WE:    6 |W N:   25
W2    | SE: 1232 | SN: -2004 | WE:    4 |W N:   25
N5    | SE: 1232 | SN: -2004 | WE:    4 |W N:   30
F69   | SE: 1508 | SN:   66 | WE:    4 |W N:   30
E3    | SE: 1508 | SN:   66 | WE:    7 |W N:   30
L90   | SE: 1508 | SN:   66 | WE:  -30 |W N:    7
F73   | SE: -682 | SN:  577 | WE:  -30 |W N:    7
L90   | SE: -682 | SN:  577 | WE:   -7 |W N:  -30
N1    | SE: -682 | SN:  577 | WE:   -7 |W N:  -29
F28   | SE: -878 | SN: -235 | WE:   -7 |W N:  -29
N4    | SE: -878 | SN: -235 | WE:   -7 |W N:  -25
F72   | SE: -1382 | SN: -2035 | WE:   -7 |W N:  -25
L90   | SE: -1382 | SN: -2035 | WE:   25 |W N:   -7
F24   | SE: -782 | SN: -2203 | WE:   25 |W N:   -7
R90   | SE: -782 | SN: -2203 | WE:   -7 |W N:  -25
S1    | SE: -782 | SN: -2203 | WE:   -7 |W N:  -26
F52   | SE: -1146 | SN: -3555 | WE:   -7 |W N:  -26
L90   | SE: -1146 | SN: -3555 | WE:   26 |W N:   -7
W2    | SE: -1146 | SN: -3555 | WE:   24 |W N:   -7
F39   | SE: -210 | SN: -3828 | WE:   24 |W N:   -7
E1    | SE: -210 | SN: -3828 | WE:   25 |W N:   -7
L180  | SE: -210 | SN: -3828 | WE:  -25 |W N:    7
S4    | SE: -210 | SN: -3828 | WE:  -25 |W N:    3
W1    | SE: -210 | SN: -3828 | WE:  -26 |W N:    3
S2    | SE: -210 | SN: -3828 | WE:  -26 |W N:    1
F61   | SE: -1796 | SN: -3767 | WE:  -26 |W N:    1
E3    | SE: -1796 | SN: -3767 | WE:  -23 |W N:    1
F37   | SE: -2647 | SN: -3730 | WE:  -23 |W N:    1
S1    | SE: -2647 | SN: -3730 | WE:  -23 |W N:    0
W3    | SE: -2647 | SN: -3730 | WE:  -26 |W N:    0
F8    | SE: -2855 | SN: -3730 | WE:  -26 |W N:    0
S5    | SE: -2855 | SN: -3730 | WE:  -26 |W N:   -5
L90   | SE: -2855 | SN: -3730 | WE:    5 |W N:  -26
N5    | SE: -2855 | SN: -3730 | WE:    5 |W N:  -21
E2    | SE: -2855 | SN: -3730 | WE:    7 |W N:  -21
L180  | SE: -2855 | SN: -3730 | WE:   -7 |W N:   21
F44   | SE: -3163 | SN: -2806 | WE:   -7 |W N:   21
W3    | SE: -3163 | SN: -2806 | WE:  -10 |W N:   21
S1    | SE: -3163 | SN: -2806 | WE:  -10 |W N:   20
R90   | SE: -3163 | SN: -2806 | WE:   20 |W N:   10
F88   | SE: -1403 | SN: -1926 | WE:   20 |W N:   10
N1    | SE: -1403 | SN: -1926 | WE:   20 |W N:   11
F75   | SE:   97 | SN: -1101 | WE:   20 |W N:   11
S2    | SE:   97 | SN: -1101 | WE:   20 |W N:    9
W2    | SE:   97 | SN: -1101 | WE:   18 |W N:    9
F37   | SE:  763 | SN: -768 | WE:   18 |W N:    9
N4    | SE:  763 | SN: -768 | WE:   18 |W N:   13
E3    | SE:  763 | SN: -768 | WE:   21 |W N:   13
R90   | SE:  763 | SN: -768 | WE:   13 |W N:  -21
F47   | SE: 1374 | SN: -1755 | WE:   13 |W N:  -21
N5    | SE: 1374 | SN: -1755 | WE:   13 |W N:  -16
W5    | SE: 1374 | SN: -1755 | WE:    8 |W N:  -16
L90   | SE: 1374 | SN: -1755 | WE:   16 |W N:    8
S4    | SE: 1374 | SN: -1755 | WE:   16 |W N:    4
E5    | SE: 1374 | SN: -1755 | WE:   21 |W N:    4
F7    | SE: 1521 | SN: -1727 | WE:   21 |W N:    4
R90   | SE: 1521 | SN: -1727 | WE:    4 |W N:  -21
E5    | SE: 1521 | SN: -1727 | WE:    9 |W N:  -21
R90   | SE: 1521 | SN: -1727 | WE:  -21 |W N:   -9
W2    | SE: 1521 | SN: -1727 | WE:  -23 |W N:   -9
F56   | SE:  233 | SN: -2231 | WE:  -23 |W N:   -9
S2    | SE:  233 | SN: -2231 | WE:  -23 |W N:  -11
R270  | SE:  233 | SN: -2231 | WE:   11 |W N:  -23
S1    | SE:  233 | SN: -2231 | WE:   11 |W N:  -24
W3    | SE:  233 | SN: -2231 | WE:    8 |W N:  -24
S2    | SE:  233 | SN: -2231 | WE:    8 |W N:  -26
W2    | SE:  233 | SN: -2231 | WE:    6 |W N:  -26
F79   | SE:  707 | SN: -4285 | WE:    6 |W N:  -26
W4    | SE:  707 | SN: -4285 | WE:    2 |W N:  -26
N5    | SE:  707 | SN: -4285 | WE:    2 |W N:  -21
W3    | SE:  707 | SN: -4285 | WE:   -1 |W N:  -21
F84   | SE:  623 | SN: -6049 | WE:   -1 |W N:  -21
L90   | SE:  623 | SN: -6049 | WE:   21 |W N:   -1
N5    | SE:  623 | SN: -6049 | WE:   21 |W N:    4
E2    | SE:  623 | SN: -6049 | WE:   23 |W N:    4
F48   | SE: 1727 | SN: -5857 | WE:   23 |W N:    4
E1    | SE: 1727 | SN: -5857 | WE:   24 |W N:    4
L180  | SE: 1727 | SN: -5857 | WE:  -24 |W N:   -4
E4    | SE: 1727 | SN: -5857 | WE:  -20 |W N:   -4
L90   | SE: 1727 | SN: -5857 | WE:    4 |W N:  -20
W4    | SE: 1727 | SN: -5857 | WE:    0 |W N:  -20
E4    | SE: 1727 | SN: -5857 | WE:    4 |W N:  -20
S4    | SE: 1727 | SN: -5857 | WE:    4 |W N:  -24
W4    | SE: 1727 | SN: -5857 | WE:    0 |W N:  -24
F36   | SE: 1727 | SN: -6721 | WE:    0 |W N:  -24
F93   | SE: 1727 | SN: -8953 | WE:    0 |W N:  -24
L180  | SE: 1727 | SN: -8953 | WE:    0 |W N:   24
W5    | SE: 1727 | SN: -8953 | WE:   -5 |W N:   24
S1    | SE: 1727 | SN: -8953 | WE:   -5 |W N:   23
E5    | SE: 1727 | SN: -8953 | WE:    0 |W N:   23
F96   | SE: 1727 | SN: -6745 | WE:    0 |W N:   23
N3    | SE: 1727 | SN: -6745 | WE:    0 |W N:   26
E3    | SE: 1727 | SN: -6745 | WE:    3 |W N:   26
N2    | SE: 1727 | SN: -6745 | WE:    3 |W N:   28
R270  | SE: 1727 | SN: -6745 | WE:  -28 |W N:    3
W5    | SE: 1727 | SN: -6745 | WE:  -33 |W N:    3
L180  | SE: 1727 | SN: -6745 | WE:   33 |W N:   -3
F24   | SE: 2519 | SN: -6817 | WE:   33 |W N:   -3
W5    | SE: 2519 | SN: -6817 | WE:   28 |W N:   -3
S5    | SE: 2519 | SN: -6817 | WE:   28 |W N:   -8
R180  | SE: 2519 | SN: -6817 | WE:  -28 |W N:    8
W1    | SE: 2519 | SN: -6817 | WE:  -29 |W N:    8
N5    | SE: 2519 | SN: -6817 | WE:  -29 |W N:   13
F6    | SE: 2345 | SN: -6739 | WE:  -29 |W N:   13
R90   | SE: 2345 | SN: -6739 | WE:   13 |W N:   29
E1    | SE: 2345 | SN: -6739 | WE:   14 |W N:   29
F52   | SE: 3073 | SN: -5231 | WE:   14 |W N:   29
F77   | SE: 4151 | SN: -2998 | WE:   14 |W N:   29
W4    | SE: 4151 | SN: -2998 | WE:   10 |W N:   29
F34   | SE: 4491 | SN: -2012 | WE:   10 |W N:   29
S3    | SE: 4491 | SN: -2012 | WE:   10 |W N:   26
R90   | SE: 4491 | SN: -2012 | WE:   26 |W N:  -10
E1    | SE: 4491 | SN: -2012 | WE:   27 |W N:  -10
E5    | SE: 4491 | SN: -2012 | WE:   32 |W N:  -10
N5    | SE: 4491 | SN: -2012 | WE:   32 |W N:   -5
E1    | SE: 4491 | SN: -2012 | WE:   33 |W N:   -5
S5    | SE: 4491 | SN: -2012 | WE:   33 |W N:  -10
R90   | SE: 4491 | SN: -2012 | WE:  -10 |W N:  -33
W5    | SE: 4491 | SN: -2012 | WE:  -15 |W N:  -33
N4    | SE: 4491 | SN: -2012 | WE:  -15 |W N:  -29
E3    | SE: 4491 | SN: -2012 | WE:  -12 |W N:  -29
W3    | SE: 4491 | SN: -2012 | WE:  -15 |W N:  -29
L90   | SE: 4491 | SN: -2012 | WE:   29 |W N:  -15
E2    | SE: 4491 | SN: -2012 | WE:   31 |W N:  -15
L90   | SE: 4491 | SN: -2012 | WE:   15 |W N:   31
W3    | SE: 4491 | SN: -2012 | WE:   12 |W N:   31
W5    | SE: 4491 | SN: -2012 | WE:    7 |W N:   31
F49   | SE: 4834 | SN: -493 | WE:    7 |W N:   31
N1    | SE: 4834 | SN: -493 | WE:    7 |W N:   32
F48   | SE: 5170 | SN: 1043 | WE:    7 |W N:   32
W3    | SE: 5170 | SN: 1043 | WE:    4 |W N:   32
N4    | SE: 5170 | SN: 1043 | WE:    4 |W N:   36
E4    | SE: 5170 | SN: 1043 | WE:    8 |W N:   36
F100  | SE: 5970 | SN: 4643 | WE:    8 |W N:   36
E1    | SE: 5970 | SN: 4643 | WE:    9 |W N:   36
R90   | SE: 5970 | SN: 4643 | WE:   36 |W N:   -9
F25   | SE: 6870 | SN: 4418 | WE:   36 |W N:   -9
S1    | SE: 6870 | SN: 4418 | WE:   36 |W N:  -10
W2    | SE: 6870 | SN: 4418 | WE:   34 |W N:  -10
N2    | SE: 6870 | SN: 4418 | WE:   34 |W N:   -8
W1    | SE: 6870 | SN: 4418 | WE:   33 |W N:   -8
F25   | SE: 7695 | SN: 4218 | WE:   33 |W N:   -8
L90   | SE: 7695 | SN: 4218 | WE:    8 |W N:   33
E2    | SE: 7695 | SN: 4218 | WE:   10 |W N:   33
F96   | SE: 8655 | SN: 7386 | WE:   10 |W N:   33
W2    | SE: 8655 | SN: 7386 | WE:    8 |W N:   33
S1    | SE: 8655 | SN: 7386 | WE:    8 |W N:   32
S4    | SE: 8655 | SN: 7386 | WE:    8 |W N:   28
F91   | SE: 9383 | SN: 9934 | WE:    8 |W N:   28
N2    | SE: 9383 | SN: 9934 | WE:    8 |W N:   30
R90   | SE: 9383 | SN: 9934 | WE:   30 |W N:   -8
W4    | SE: 9383 | SN: 9934 | WE:   26 |W N:   -8
L90   | SE: 9383 | SN: 9934 | WE:    8 |W N:   26
E4    | SE: 9383 | SN: 9934 | WE:   12 |W N:   26
F78   | SE: 10319 | SN: 11962 | WE:   12 |W N:   26
L90   | SE: 10319 | SN: 11962 | WE:  -26 |W N:   12
S1    | SE: 10319 | SN: 11962 | WE:  -26 |W N:   11
W3    | SE: 10319 | SN: 11962 | WE:  -29 |W N:   11
F56   | SE: 8695 | SN: 12578 | WE:  -29 |W N:   11
R90   | SE: 8695 | SN: 12578 | WE:   11 |W N:   29
W1    | SE: 8695 | SN: 12578 | WE:   10 |W N:   29
E4    | SE: 8695 | SN: 12578 | WE:   14 |W N:   29
L90   | SE: 8695 | SN: 12578 | WE:  -29 |W N:   14
N5    | SE: 8695 | SN: 12578 | WE:  -29 |W N:   19
E1    | SE: 8695 | SN: 12578 | WE:  -28 |W N:   19
R90   | SE: 8695 | SN: 12578 | WE:   19 |W N:   28
F53   | SE: 9702 | SN: 14062 | WE:   19 |W N:   28
E5    | SE: 9702 | SN: 14062 | WE:   24 |W N:   28
L90   | SE: 9702 | SN: 14062 | WE:  -28 |W N:   24
E2    | SE: 9702 | SN: 14062 | WE:  -26 |W N:   24
F82   | SE: 7570 | SN: 16030 | WE:  -26 |W N:   24
E4    | SE: 7570 | SN: 16030 | WE:  -22 |W N:   24
L90   | SE: 7570 | SN: 16030 | WE:  -24 |W N:  -22
W2    | SE: 7570 | SN: 16030 | WE:  -26 |W N:  -22
L180  | SE: 7570 | SN: 16030 | WE:   26 |W N:   22
F51   | SE: 8896 | SN: 17152 | WE:   26 |W N:   22
R270  | SE: 8896 | SN: 17152 | WE:  -22 |W N:   26
F37   | SE: 8082 | SN: 18114 | WE:  -22 |W N:   26
N5    | SE: 8082 | SN: 18114 | WE:  -22 |W N:   31
F15   | SE: 7752 | SN: 18579 | WE:  -22 |W N:   31
E4    | SE: 7752 | SN: 18579 | WE:  -18 |W N:   31
F16   | SE: 7464 | SN: 19075 | WE:  -18 |W N:   31
E2    | SE: 7464 | SN: 19075 | WE:  -16 |W N:   31
S1    | SE: 7464 | SN: 19075 | WE:  -16 |W N:   30
E4    | SE: 7464 | SN: 19075 | WE:  -12 |W N:   30
F91   | SE: 6372 | SN: 21805 | WE:  -12 |W N:   30
N4    | SE: 6372 | SN: 21805 | WE:  -12 |W N:   34
E5    | SE: 6372 | SN: 21805 | WE:   -7 |W N:   34
N5    | SE: 6372 | SN: 21805 | WE:   -7 |W N:   39
L90   | SE: 6372 | SN: 21805 | WE:  -39 |W N:   -7
F9    | SE: 6021 | SN: 21742 | WE:  -39 |W N:   -7
W2    | SE: 6021 | SN: 21742 | WE:  -41 |W N:   -7
F64   | SE: 3397 | SN: 21294 | WE:  -41 |W N:   -7
S4    | SE: 3397 | SN: 21294 | WE:  -41 |W N:  -11
F72   | SE:  445 | SN: 20502 | WE:  -41 |W N:  -11
W2    | SE:  445 | SN: 20502 | WE:  -43 |W N:  -11
F31   | SE: -888 | SN: 20161 | WE:  -43 |W N:  -11
S4    | SE: -888 | SN: 20161 | WE:  -43 |W N:  -15
R90   | SE: -888 | SN: 20161 | WE:  -15 |W N:   43
F40   | SE: -1488 | SN: 21881 | WE:  -15 |W N:   43
W3    | SE: -1488 | SN: 21881 | WE:  -18 |W N:   43
R90   | SE: -1488 | SN: 21881 | WE:   43 |W N:   18
F50   | SE:  662 | SN: 22781 | WE:   43 |W N:   18
S1    | SE:  662 | SN: 22781 | WE:   43 |W N:   17
F61   | SE: 3285 | SN: 23818 | WE:   43 |W N:   17
W3    | SE: 3285 | SN: 23818 | WE:   40 |W N:   17
F90   | SE: 6885 | SN: 25348 | WE:   40 |W N:   17
N5    | SE: 6885 | SN: 25348 | WE:   40 |W N:   22
F76   | SE: 9925 | SN: 27020 | WE:   40 |W N:   22
S1    | SE: 9925 | SN: 27020 | WE:   40 |W N:   21
L90   | SE: 9925 | SN: 27020 | WE:  -21 |W N:   40
E3    | SE: 9925 | SN: 27020 | WE:  -18 |W N:   40
R180  | SE: 9925 | SN: 27020 | WE:   18 |W N:  -40
F19   | SE: 10267 | SN: 26260 | WE:   18 |W N:  -40
L90   | SE: 10267 | SN: 26260 | WE:   40 |W N:   18
W3    | SE: 10267 | SN: 26260 | WE:   37 |W N:   18
F70   | SE: 12857 | SN: 27520 | WE:   37 |W N:   18
E3    | SE: 12857 | SN: 27520 | WE:   40 |W N:   18
F35   | SE: 14257 | SN: 28150 | WE:   40 |W N:   18
R90   | SE: 14257 | SN: 28150 | WE:   18 |W N:  -40
L90   | SE: 14257 | SN: 28150 | WE:   40 |W N:   18
N1    | SE: 14257 | SN: 28150 | WE:   40 |W N:   19
W5    | SE: 14257 | SN: 28150 | WE:   35 |W N:   19
R180  | SE: 14257 | SN: 28150 | WE:  -35 |W N:  -19
E2    | SE: 14257 | SN: 28150 | WE:  -33 |W N:  -19
N5    | SE: 14257 | SN: 28150 | WE:  -33 |W N:  -14
F34   | SE: 13135 | SN: 27674 | WE:  -33 |W N:  -14
W4    | SE: 13135 | SN: 27674 | WE:  -37 |W N:  -14
S1    | SE: 13135 | SN: 27674 | WE:  -37 |W N:  -15
E1    | SE: 13135 | SN: 27674 | WE:  -36 |W N:  -15
N5    | SE: 13135 | SN: 27674 | WE:  -36 |W N:  -10
E1    | SE: 13135 | SN: 27674 | WE:  -35 |W N:  -10
N2    | SE: 13135 | SN: 27674 | WE:  -35 |W N:   -8
R90   | SE: 13135 | SN: 27674 | WE:   -8 |W N:   35
W4    | SE: 13135 | SN: 27674 | WE:  -12 |W N:   35
S1    | SE: 13135 | SN: 27674 | WE:  -12 |W N:   34
L180  | SE: 13135 | SN: 27674 | WE:   12 |W N:  -34
E5    | SE: 13135 | SN: 27674 | WE:   17 |W N:  -34
F59   | SE: 14138 | SN: 25668 | WE:   17 |W N:  -34
E1    | SE: 14138 | SN: 25668 | WE:   18 |W N:  -34
R90   | SE: 14138 | SN: 25668 | WE:  -34 |W N:  -18
S2    | SE: 14138 | SN: 25668 | WE:  -34 |W N:  -20
L90   | SE: 14138 | SN: 25668 | WE:   20 |W N:  -34
S4    | SE: 14138 | SN: 25668 | WE:   20 |W N:  -38
R90   | SE: 14138 | SN: 25668 | WE:  -38 |W N:  -20
W2    | SE: 14138 | SN: 25668 | WE:  -40 |W N:  -20
N5    | SE: 14138 | SN: 25668 | WE:  -40 |W N:  -15
F60   | SE: 11738 | SN: 24768 | WE:  -40 |W N:  -15
W1    | SE: 11738 | SN: 24768 | WE:  -41 |W N:  -15
R90   | SE: 11738 | SN: 24768 | WE:  -15 |W N:   41
F35   | SE: 11213 | SN: 26203 | WE:  -15 |W N:   41
R270  | SE: 11213 | SN: 26203 | WE:  -41 |W N:  -15
W5    | SE: 11213 | SN: 26203 | WE:  -46 |W N:  -15
F100  | SE: 6613 | SN: 24703 | WE:  -46 |W N:  -15
W2    | SE: 6613 | SN: 24703 | WE:  -48 |W N:  -15
R90   | SE: 6613 | SN: 24703 | WE:  -15 |W N:   48
N2    | SE: 6613 | SN: 24703 | WE:  -15 |W N:   50
S5    | SE: 6613 | SN: 24703 | WE:  -15 |W N:   45
S3    | SE: 6613 | SN: 24703 | WE:  -15 |W N:   42
E1    | SE: 6613 | SN: 24703 | WE:  -14 |W N:   42
S2    | SE: 6613 | SN: 24703 | WE:  -14 |W N:   40
F36   | SE: 6109 | SN: 26143 | WE:  -14 |W N:   40
W1    | SE: 6109 | SN: 26143 | WE:  -15 |W N:   40
F90   | SE: 4759 | SN: 29743 | WE:  -15 |W N:   40
R90   | SE: 4759 | SN: 29743 | WE:   40 |W N:   15
S3    | SE: 4759 | SN: 29743 | WE:   40 |W N:   12
E3    | SE: 4759 | SN: 29743 | WE:   43 |W N:   12
F5    | SE: 4974 | SN: 29803 | WE:   43 |W N:   12
S4    | SE: 4974 | SN: 29803 | WE:   43 |W N:    8
R90   | SE: 4974 | SN: 29803 | WE:    8 |W N:  -43
E3    | SE: 4974 | SN: 29803 | WE:   11 |W N:  -43
R90   | SE: 4974 | SN: 29803 | WE:  -43 |W N:  -11
N3    | SE: 4974 | SN: 29803 | WE:  -43 |W N:   -8
L90   | SE: 4974 | SN: 29803 | WE:    8 |W N:  -43
S1    | SE: 4974 | SN: 29803 | WE:    8 |W N:  -44
F74   | SE: 5566 | SN: 26547 | WE:    8 |W N:  -44
S2    | SE: 5566 | SN: 26547 | WE:    8 |W N:  -46
R180  | SE: 5566 | SN: 26547 | WE:   -8 |W N:   46
E4    | SE: 5566 | SN: 26547 | WE:   -4 |W N:   46
S5    | SE: 5566 | SN: 26547 | WE:   -4 |W N:   41
F13   | SE: 5514 | SN: 27080 | WE:   -4 |W N:   41
S3    | SE: 5514 | SN: 27080 | WE:   -4 |W N:   38
E2    | SE: 5514 | SN: 27080 | WE:   -2 |W N:   38
F92   | SE: 5330 | SN: 30576 | WE:   -2 |W N:   38
N5    | SE: 5330 | SN: 30576 | WE:   -2 |W N:   43
F2    | SE: 5326 | SN: 30662 | WE:   -2 |W N:   43
N4    | SE: 5326 | SN: 30662 | WE:   -2 |W N:   47
F3    | SE: 5320 | SN: 30803 | WE:   -2 |W N:   47
E2    | SE: 5320 | SN: 30803 | WE:    0 |W N:   47
L180  | SE: 5320 | SN: 30803 | WE:    0 |W N:  -47
W3    | SE: 5320 | SN: 30803 | WE:   -3 |W N:  -47
N3    | SE: 5320 | SN: 30803 | WE:   -3 |W N:  -44
L90   | SE: 5320 | SN: 30803 | WE:   44 |W N:   -3
E4    | SE: 5320 | SN: 30803 | WE:   48 |W N:   -3
F21   | SE: 6328 | SN: 30740 | WE:   48 |W N:   -3
W1    | SE: 6328 | SN: 30740 | WE:   47 |W N:   -3
F76   | SE: 9900 | SN: 30512 | WE:   47 |W N:   -3
W5    | SE: 9900 | SN: 30512 | WE:   42 |W N:   -3
F56   | SE: 12252 | SN: 30344 | WE:   42 |W N:   -3
E4    | SE: 12252 | SN: 30344 | WE:   46 |W N:   -3
R180  | SE: 12252 | SN: 30344 | WE:  -46 |W N:    3
F100  | SE: 7652 | SN: 30644 | WE:  -46 |W N:    3
E1    | SE: 7652 | SN: 30644 | WE:  -45 |W N:    3
F29   | SE: 6347 | SN: 30731 | WE:  -45 |W N:    3
L90   | SE: 6347 | SN: 30731 | WE:   -3 |W N:  -45
F96   | SE: 6059 | SN: 26411 | WE:   -3 |W N:  -45
N2    | SE: 6059 | SN: 26411 | WE:   -3 |W N:  -43
F43   | SE: 5930 | SN: 24562 | WE:   -3 |W N:  -43
R90   | SE: 5930 | SN: 24562 | WE:  -43 |W N:    3
F26   | SE: 4812 | SN: 24640 | WE:  -43 |W N:    3
N3    | SE: 4812 | SN: 24640 | WE:  -43 |W N:    6
F15   | SE: 4167 | SN: 24730 | WE:  -43 |W N:    6
L180  | SE: 4167 | SN: 24730 | WE:   43 |W N:   -6
E3    | SE: 4167 | SN: 24730 | WE:   46 |W N:   -6
R180  | SE: 4167 | SN: 24730 | WE:  -46 |W N:    6
N3    | SE: 4167 | SN: 24730 | WE:  -46 |W N:    9
E3    | SE: 4167 | SN: 24730 | WE:  -43 |W N:    9
R90   | SE: 4167 | SN: 24730 | WE:    9 |W N:   43
F7    | SE: 4230 | SN: 25031 | WE:    9 |W N:   43
L90   | SE: 4230 | SN: 25031 | WE:  -43 |W N:    9
W2    | SE: 4230 | SN: 25031 | WE:  -45 |W N:    9
F33   | SE: 2745 | SN: 25328 | WE:  -45 |W N:    9
R90   | SE: 2745 | SN: 25328 | WE:    9 |W N:   45
E5    | SE: 2745 | SN: 25328 | WE:   14 |W N:   45
S4    | SE: 2745 | SN: 25328 | WE:   14 |W N:   41
E2    | SE: 2745 | SN: 25328 | WE:   16 |W N:   41
E3    | SE: 2745 | SN: 25328 | WE:   19 |W N:   41
F34   | SE: 3391 | SN: 26722 | WE:   19 |W N:   41
F66   | SE: 4645 | SN: 29428 | WE:   19 |W N:   41
N4    | SE: 4645 | SN: 29428 | WE:   19 |W N:   45
F14   | SE: 4911 | SN: 30058 | WE:   19 |W N:   45
W3    | SE: 4911 | SN: 30058 | WE:   16 |W N:   45
N2    | SE: 4911 | SN: 30058 | WE:   16 |W N:   47
R270  | SE: 4911 | SN: 30058 | WE:  -47 |W N:   16
F66   | SE: 1809 | SN: 31114 | WE:  -47 |W N:   16
E4    | SE: 1809 | SN: 31114 | WE:  -43 |W N:   16
S5    | SE: 1809 | SN: 31114 | WE:  -43 |W N:   11
W5    | SE: 1809 | SN: 31114 | WE:  -48 |W N:   11
R90   | SE: 1809 | SN: 31114 | WE:   11 |W N:   48
S5    | SE: 1809 | SN: 31114 | WE:   11 |W N:   43
W5    | SE: 1809 | SN: 31114 | WE:    6 |W N:   43
L90   | SE: 1809 | SN: 31114 | WE:  -43 |W N:    6
S4    | SE: 1809 | SN: 31114 | WE:  -43 |W N:    2
L90   | SE: 1809 | SN: 31114 | WE:   -2 |W N:  -43
F69   | SE: 1671 | SN: 28147 | WE:   -2 |W N:  -43
E5    | SE: 1671 | SN: 28147 | WE:    3 |W N:  -43
R90   | SE: 1671 | SN: 28147 | WE:  -43 |W N:   -3
W5    | SE: 1671 | SN: 28147 | WE:  -48 |W N:   -3
S5    | SE: 1671 | SN: 28147 | WE:  -48 |W N:   -8
W4    | SE: 1671 | SN: 28147 | WE:  -52 |W N:   -8
R90   | SE: 1671 | SN: 28147 | WE:   -8 |W N:   52
N3    | SE: 1671 | SN: 28147 | WE:   -8 |W N:   55
E4    | SE: 1671 | SN: 28147 | WE:   -4 |W N:   55
F14   | SE: 1615 | SN: 28917 | WE:   -4 |W N:   55
W3    | SE: 1615 | SN: 28917 | WE:   -7 |W N:   55
F24   | SE: 1447 | SN: 30237 | WE:   -7 |W N:   55
S3    | SE: 1447 | SN: 30237 | WE:   -7 |W N:   52
F48   | SE: 1111 | SN: 32733 | WE:   -7 |W N:   52
L180  | SE: 1111 | SN: 32733 | WE:    7 |W N:  -52
E1    | SE: 1111 | SN: 32733 | WE:    8 |W N:  -52
R90   | SE: 1111 | SN: 32733 | WE:  -52 |W N:   -8
F36   | SE: -761 | SN: 32445 | WE:  -52 |W N:   -8
N4    | SE: -761 | SN: 32445 | WE:  -52 |W N:   -4
L90   | SE: -761 | SN: 32445 | WE:    4 |W N:  -52
F68   | SE: -489 | SN: 28909 | WE:    4 |W N:  -52
E4    | SE: -489 | SN: 28909 | WE:    8 |W N:  -52
F59   | SE:  -17 | SN: 25841 | WE:    8 |W N:  -52
E5    | SE:  -17 | SN: 25841 | WE:   13 |W N:  -52
R90   | SE:  -17 | SN: 25841 | WE:  -52 |W N:  -13
N2    | SE:  -17 | SN: 25841 | WE:  -52 |W N:  -11
E4    | SE:  -17 | SN: 25841 | WE:  -48 |W N:  -11
N5    | SE:  -17 | SN: 25841 | WE:  -48 |W N:   -6
F56   | SE: -2705 | SN: 25505 | WE:  -48 |W N:   -6
R90   | SE: -2705 | SN: 25505 | WE:   -6 |W N:   48
R90   | SE: -2705 | SN: 25505 | WE:   48 |W N:    6
F91   | SE: 1663 | SN: 26051 | WE:   48 |W N:    6
W3    | SE: 1663 | SN: 26051 | WE:   45 |W N:    6
F24   | SE: 2743 | SN: 26195 | WE:   45 |W N:    6
L90   | SE: 2743 | SN: 26195 | WE:   -6 |W N:   45
